district,census_year,total_population,population_18_plus
Kailahun,2015,526379,
Kailahun,2021,550435,

Kenema,2015,609891,
Kenema,2021,772472,

Kono,2015,506100,
Kono,2021,620703,

Bombali,2015,422960,
Bombali,2021,387236,

Falaba,2015,205353,
Falaba,2021,166205,

Koinadugu,2015,204019,
Koinadugu,2021,206133,

Tonkolili,2015,513984,
Tonkolili,2021,557257,

Kambia,2015,345474,
Kambia,2021,367699,

Karene,2015,285546,
Karene,2021,290313,

Port Loko,2015,530865,
Port Loko,2021,528038,

Bo,2015,575478,
Bo,2021,756975,

Bonthe,2015,200781,
Bonthe,2021,297561,

Moyamba,2015,318588,
Moyamba,2021,346771,

Pujehun,2015,346461,
Pujehun,2021,429574,

Western Area Rural,2015,444270,
Western Area Rural,2021,662156,

Western Area Urban,2015,1055964,
Western Area Urban,2021,609174,
